prov_id,area_id,user_id,chnl_type,service_type,product_type,innet_months,total_times,total_flux,total_fee,pay_fee,sex,age,manu_name,term_type,max_rat_flag,is_5g_base_cover,is_work_5g_cover,is_home_5g_cover,is_work_5g_cover_l01,is_home_5g_cover_l01,is_work_5g_cover_l02,is_home_5g_cover_l02,activity_type,is_act_expire,comp_type,call_days,re_call10,short_call10,long_call10,bank_cnt,active_days01,active_days02,active_days03,active_days04,active_days05,active_days06,active_days07,active_days08,active_days09,active_days10,active_days11,active_days12,active_days13,active_days14,active_days15,active_days16,active_days17,active_days18,active_days19,active_days20,active_days21,active_days22,active_days23,game_app_flux,live_app_flux,video_app_flux,city_5g_ratio,city_level,is_5g
81,V0513400,5f950e1751acd6a6fa9bf88eb5560c78,7,4,5,29,1.14944141,10.8647535,93,550,1,25,3,4,4,0,0,0,0,0,0,0,4,1,1,25.625,0.5,18.25,0.5,8.75,7,0,0,0,0,0,0,0,0,0,29,18,0,0,0,0,2,0,28,4,2,0,0,0,0,5526.494937,0.000512002,7,1
36,V0330200,40015dd14b779d1d3d4e8e2536c6115a,7,4,3,5,0.688336969,6.814911368,89.912,580,1,26,6,4,4,0,0,0,0,0,0,0,4,1,1,21.14285714,5.285714286,11.57142857,3.857142857,0,0,0,0,0,0,0,0,0,0,0,7,5,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0.000356336,3,0
76,V0410100,72f4ddd94488cc2f30bc83b82f55d3eb,7,4,4,104,1.102317969,9.49254326,62.67,710,0,32,5,4,4,1,1,1,1,1,1,1,3,2,6,29.875,114.625,54.5,3.875,71.125,4,0,0,0,0,0,0,0,0,0,29,25,0,0,0,0,3,0,17,0,3,0,0,0,0,1235.091633,0.00049,3,0
84,V0610100,845983a3e7973b0016c73071f4c70c1c,10,4,5,15,0.122139379,5.008418379,75.798,90,0,37,1,1,4,0,0,0,0,0,0,0,5,3,6,14,0,2,0,0,4,0,0,0,0,0,0,0,1,1,27,27,0,0,0,0,0,0,8,4,4,0,0,0,9.135479927,1194.355876,0.000328096,2,0
85,V0520100,0326fbd12145c5378baf5168a8e9c8fe,7,4,3,21,0.158737575,9.745639765,54.5,300,1,55,6,4,4,0,0,0,0,0,0,0,4,1,1,8.285714286,0.142857143,0.714285714,2.571428571,0,29,0,0,0,0,0,0,0,0,0,30,19,0,0,0,0,0,0,18,20,0,6,1,0,0,26.78337097,0.000829997,6,0
51,V0440600,dfbcc95690bbb159ca72b88e529c5ec6,7,4,3,19,0.162172986,10.3380896,70.83333333,430,1,18,2,4,4,0,0,0,0,0,0,0,4,1,1,6.75,2.75,2,0.25,10.375,17,0,0,0,0,0,0,0,0,0,28,28,0,0,0,4,1,0,26,17,15,14,0,0,0,7161.453408,0.000674806,6,1
76,V0410300,6d133e18191377a55fbadc2e0cd5682c,9,4,3,32,0.492869361,11.2531494,158.7333333,990,1,21,3,4,4,0,0,0,0,0,0,0,4,1,1,23.75,1.875,6.75,0.75,0,1,0,0,0,0,0,0,0,0,0,30,26,0,0,0,0,2,0,27,13,23,0,0,0,97.35000324,11664.54555,0.000164127,5,0
10,V0150400,3c3f3b0114ff75eecd864ccfd69787fb,4,4,5,105,5.501557611,9.817129794,163,284,0,44,5,4,4,0,0,0,0,0,0,0,4,1,2,30,706.75,66.625,27.625,26.875,1,1,0,0,0,0,0,0,30,0,30,30,28,0,0,0,10,0,7,29,1,0,19,0,0.036880493,0,6.06E-05,7,0
76,V0410100,54e0a1abb62b71a32e218bd49f0b5616,1,4,5,147,0.416181274,5.62269523,86.05,520,1,33,5,4,4,0,0,0,0,0,0,0,4,1,1,25,3,8.5,0,16,0,0,0,0,0,0,0,0,0,0,26,2,0,0,0,0,0,0,3,0,1,0,0,0,0,566.6948814,0.00049,3,0
89,V0652901,5d5d62125f52f4313e7e108e83426519,7,4,3,22,0.033096478,8.890906553,50.52,280,1,37,3,4,4,0,0,0,0,0,0,0,4,1,1,7.833333333,1.666666667,7.666666667,0.166666667,0,3,0,0,0,0,0,0,0,0,0,19,19,0,0,0,0,1,0,18,10,11,16,0,0,0,5281.463044,0.00011754,7,0
83,V0500000,70005be7f8fc33aa29b3b4dfe5fdf010,3,4,5,27,0.09443228,9.990244204,55,813,0,20,5,4,4,0,0,0,0,0,0,0,4,1,1,4.428571429,0.142857143,0.714285714,0.142857143,18.57142857,4,0,0,0,0,0,0,0,0,0,4,3,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0.000269099,2,0
71,V0422100,b9ee496c380358246afe4cd7800b116e,4,4,3,3,0.008248732,10.91693203,63.75333333,220,0,22,4,4,4,1,0,0,0,0,1,1,4,1,1,0.6,0.4,0,0,0,29,0,0,0,0,0,0,0,0,0,30,30,0,0,5,27,8,0,30,30,27,9,5,0,0.203424454,18253.37978,0.000391503,7,0
30,V0340100,99c8641cdd5c985d6218cd0ebc87b65d,10,1,5,34,0.005330013,0,106.09,0,0,24,4,4,2,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000282825,6,0
91,V0210100,ecaa1df56a3a8fbb44d44c15203ffd71,9,4,3,11,2.144935374,9.610520794,57.03333333,400,1,33,2,4,4,0,0,0,0,0,0,0,4,1,1,28.875,5.5,226.625,0.125,19.125,30,0,0,0,0,0,0,2,16,0,30,30,0,0,1,30,0,0,3,23,0,1,0,0,0,5.260234833,0.000181293,2,0
59,V0452700,94f09f0b940bc1f2d633123f2ff07951,9,4,3,18,0.008168716,9.357488663,53.33333333,355,1,26,3,4,4,0,0,0,0,0,0,0,4,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,30,28,0,0,0,1,2,0,30,14,27,11,1,0,36.60664749,29.98084068,8.43E-05,7,0
76,V0412300,2494a1af2e337dd77b29807c0f0b1535,7,4,2,13,0.069430199,7.814110446,99,100,0,25,4,4,4,0,0,0,0,0,0,0,4,1,2,5.25,1.875,1.375,0,0,1,0,0,0,0,0,0,0,1,0,27,22,0,0,0,0,1,0,13,0,22,0,0,0,0,697.3236427,7.87E-05,7,0
84,V0612701,248ca1f38a9dc1d0f4916d1707111ea9,7,3,5,125,0.38167536,0.174399426,66,430,1,58,4,4,4,0,0,0,0,0,0,0,4,1,1,24.125,0.875,2.375,2.5,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.41E-05,7,0
31,V0310000,0c06805efacdc92e1ea98af06f1b1737,7,1,6,79,0.323004249,10.12053055,128.2666667,680,0,51,5,4,4,0,0,0,0,0,0,0,4,1,1,9,0,2.428571429,0.285714286,21.42857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001135951,1,0
71,V0420100,68dd1d1180f8cbe5003804e937f0e0c3,7,4,6,101,2.01135342,7.887381617,117.6633333,720,0,42,5,4,4,0,0,0,0,0,0,0,4,1,1,27.5,11.5,17.25,17.25,18.75,2,0,0,0,0,0,0,0,0,0,30,28,0,0,0,4,6,0,1,12,5,3,0,0,0.164910316,0,0.000319439,2,0
74,V0430900,b4804c2963594e35a4afc0e77307ef27,7,4,3,24,2.531427794,7.825972129,85.7,550,1,43,3,4,4,0,0,0,0,0,0,0,4,1,1,30.125,2.5,40.125,4.625,0,30,0,0,0,0,0,0,0,0,0,30,11,0,0,0,0,5,0,4,0,1,0,0,0,0,0,8.51E-05,7,0
17,V0372900,e715d65b61073b48789ef6fa4e896d53,6,4,5,27,1.453377494,9.549071906,170.75,4092,1,32,2,4,4,0,0,0,0,0,0,0,3,3,4,29.875,111.25,31.875,2.625,1.125,18,0,0,0,0,0,0,0,0,0,30,27,0,0,0,0,0,0,20,24,0,2,1,0,0,6137.189443,5.30E-05,7,0
81,V0510100,1c27365cd3ef37e999200733f84ee47f,7,4,5,103,0.763749614,6.908095393,68,400,1,52,2,4,4,1,1,1,1,1,1,1,4,1,1,29,3.25,16.75,0.5,15.375,2,0,0,0,0,0,0,0,0,0,30,4,0,0,0,0,0,0,6,4,0,0,0,0,267.8300781,0,0.000643627,2,0
51,V0440100,6af75a62d5d626f89b0160c1f9a23ed3,7,4,5,41,3.438058315,7.881082855,117.5083333,928.4,0,57,4,4,4,1,1,0,0,0,1,1,4,1,1,20.75,14,4.75,12.25,5.875,3,0,0,0,0,0,0,0,0,0,30,9,0,0,0,0,0,0,1,6,0,0,0,0,0,0.322510719,0.002355841,1,0
